constituency_id,state_encoded,demographic_encoded,turnout_2016,turnout_2021,turnout_change_21,margin_2016,swing_2016,result_2016_encoded,baseline_pred_margin,scenario_pred_margin,baseline_pred_retained,scenario_pred_retained,baseline_pred_winner,scenario_pred_winner,winner_changed,baseline_pred_retained_label,scenario_pred_retained_label
WE-AC0480,4,1,73.29,74.69,1.3999999999999917,29.3112,0.9606,7,32.75161124596155,40.265790225569845,1,1,INC,INC,False,Retained,Retained
TA-AC0111,3,2,63.82,56.69,-7.130000000000003,0.7074,-10.4591,1,-11.153252242200642,-2.419703982448631,0,0,BJP,BJP,False,Lost,Lost
AS-AC0990,0,2,81.9,80.65,-1.25,10.0734,11.0571,4,7.795535228441572,17.123933760403744,1,1,BJP,BJP,False,Retained,Retained
TA-AC0487,3,2,76.99,74.38,-2.6099999999999994,28.282,10.2788,7,25.886805933761703,34.11890833465763,1,1,INC,INC,False,Retained,Retained
AS-AC0364,0,0,68.42,70.11,1.6899999999999975,15.0371,-2.8102,0,18.391393126373384,28.818858383295392,1,1,AGP,AGP,False,Retained,Retained
WE-AC0255,4,2,76.52,79.06,2.5400000000000063,10.3249,-0.7753,7,14.60303975267775,24.241093123386868,1,1,INC,INC,False,Retained,Retained
PU-AC0260,2,2,86.76,90.73,3.969999999999999,12.2281,1.9538,4,18.745180449805968,26.30868942906405,1,1,BJP,BJP,False,Retained,Retained
WE-AC0803,4,0,52.24,52.94,0.6999999999999957,-3.1923,-0.8486,7,-4.0120467789970755,5.296061800729828,0,0,TMC,TMC,False,Lost,Lost
AS-AC0678,0,2,80.89,77.68,-3.2099999999999937,2.4386,-1.0037,7,-3.193788229702196,5.75844515986457,0,0,INC,INC,False,Lost,Lost
PU-AC0495,2,1,72.12,66.55,-5.570000000000007,4.3611,-1.1639,7,-5.648901226894685,2.959989573166926,0,0,INC,INC,False,Lost,Lost
WE-AC0671,4,0,59.7,59.8,0.0999999999999943,-1.7646,-5.5146,7,-0.8643573502155774,8.123083731576592,0,1,TMC,TMC,False,Lost,Retained
WE-AC0378,4,0,65.77,67.42,1.6500000000000057,25.3826,5.2988,4,28.52470326250133,38.62786119704925,1,1,BJP,BJP,False,Retained,Retained
KE-AC0527,1,2,73.7,76.52,2.819999999999993,5.8653,-17.3939,7,11.025706577899637,17.352825051320423,1,1,INC,INC,False,Retained,Retained
TA-AC0846,3,2,76.92,76.89,-0.0300000000000011,12.228,5.6499,1,12.72212305275767,19.923047987622617,1,1,AIADMK,AIADMK,False,Retained,Retained
KE-AC0138,1,2,78.98,81.54,2.5600000000000023,4.8977,-7.803,7,9.91802425321853,17.3250544290838,1,1,INC,INC,False,Retained,Retained
PU-AC0356,2,2,79.3,82.08,2.780000000000001,11.6042,-13.3861,2,16.06460906379158,24.835432741931847,1,1,AINRC,AINRC,False,Retained,Retained
KE-AC0366,1,2,72.03,73.59,1.5600000000000025,10.6247,18.7097,8,13.690327631372641,22.718652130029646,1,1,LDF,LDF,False,Retained,Retained
PU-AC0943,2,0,64.35,73.14,8.790000000000006,14.738,-12.2618,6,29.72486179131979,30.748665146759716,1,1,DMK,DMK,False,Retained,Retained
AS-AC0750,0,1,73.93,71.77,-2.160000000000011,-0.7127,-9.6578,3,-4.131787518114506,5.287238714469577,0,1,AIUDF,AIUDF,False,Lost,Retained
PU-AC0949,2,2,73.63,72.43,-1.1999999999999886,7.2903,5.4136,6,4.588518924696467,13.412340479676827,0,1,DMK,DMK,False,Lost,Retained
WE-AC0830,4,2,76.25,76.4,0.1500000000000056,2.5821,-9.7258,5,2.8250874461315765,13.1233197248978,0,1,CPIM,CPIM,False,Lost,Retained
AS-AC0657,0,2,89.05,88.04,-1.009999999999991,3.3666,-10.9214,0,1.2783197214527953,10.210007533911092,0,1,AGP,AGP,False,Lost,Retained
TA-AC0200,3,2,78.39,85.7,7.310000000000002,6.4783,-6.0562,1,17.187433417872658,22.144905350342402,1,1,AIADMK,AIADMK,False,Retained,Retained
TA-AC0214,3,2,83.8,88.55,4.75,7.2552,4.3312,6,15.719839411226491,21.856456322552578,1,1,DMK,DMK,False,Retained,Retained
WE-AC0409,4,2,83.51,90.02,6.509999999999991,13.3571,5.1961,5,24.778524974183618,27.77176058274876,1,1,CPIM,CPIM,False,Retained,Retained
WE-AC0333,4,1,71.11,74.32,3.2099999999999937,14.5612,9.7039,9,20.701064685535673,28.829000750355668,1,1,TMC,TMC,False,Retained,Retained
WE-AC0209,4,0,76.89,83.29,6.400000000000006,10.2339,3.725,5,21.70305864042497,26.620533174415403,1,1,CPIM,CPIM,False,Retained,Retained
AS-AC0614,0,1,60.75,56.81,-3.9399999999999977,-2.8003,10.8374,4,-11.382025796655384,-1.4595980143722025,0,0,BJP,BJP,False,Lost,Lost
KE-AC0079,1,1,66.68,58.12,-8.56000000000001,-10.1532,-7.4797,10,-17.32225028853133,-13.845250517977538,0,0,LDF,LDF,False,Lost,Lost
