constituency_id,state,demographic,result,voter_turnout_pct,margin_of_victory_pct,swing_factor_pct,election_year
TA-AC0345,Tamil Nadu,Rural,INC,72.6,-7.3767,-7.0134,2021
TA-AC0346,Tamil Nadu,Rural,BJP,73.8,-3.2058,-7.2309,2021
TA-AC0347,Tamil Nadu,Urban,INC,70.89,12.7031,15.3793,2021
TA-AC0348,Tamil Nadu,Semi-Urban,DMK,72.38,6.3769,-13.2647,2021
PU-AC0349,Puducherry,Rural,BJP,71.39,10.3943,-16.2356,2021
WE-AC0350,West Bengal,Semi-Urban,TMC,69.95,-6.989,-1.7435,2021
AS-AC0351,Assam,Semi-Urban,INC,72.61,10.5056,-15.2442,2021
AS-AC0352,Assam,Urban,AGP,68.08,2.5401,-2.4215,2021
KE-AC0353,Kerala,Rural,UDF,88.0,33.4635,2.394,2021
TA-AC0354,Tamil Nadu,Semi-Urban,AIADMK,74.22,28.3096,6.8134,2021
KE-AC0355,Kerala,Rural,LDF,73.67,18.0269,10.7427,2021
PU-AC0356,Puducherry,Rural,AINRC,82.08,16.5932,6.9292,2021
AS-AC0357,Assam,Rural,BJP,69.2,-9.5852,-27.0184,2021
PU-AC0358,Puducherry,Rural,DMK,79.67,7.5121,-0.1654,2021
TA-AC0359,Tamil Nadu,Rural,INC,93.2,16.1002,5.4646,2021
PU-AC0360,Puducherry,Urban,AINRC,59.52,8.3287,3.5343,2021
AS-AC0361,Assam,Semi-Urban,BJP,76.49,21.5103,6.0643,2021
TA-AC0362,Tamil Nadu,Urban,DMK,56.17,3.0564,10.3312,2021
AS-AC0363,Assam,Semi-Urban,BJP,73.44,16.0558,3.5902,2021
AS-AC0364,Assam,Urban,AGP,70.11,18.0969,4.2497,2021
KE-AC0365,Kerala,Urban,INC,68.1,-7.8848,-5.6477,2021
KE-AC0366,Kerala,Rural,LDF,73.59,13.4299,3.8961,2021
TA-AC0367,Tamil Nadu,Rural,BJP,95.0,29.513,0.422,2021
TA-AC0368,Tamil Nadu,Rural,DMK,86.99,35.161,7.1595,2021
WE-AC0369,West Bengal,Rural,BJP,88.41,14.3682,-2.2335,2021
AS-AC0370,Assam,Semi-Urban,BJP,86.47,35.3956,16.2547,2021
KE-AC0371,Kerala,Urban,LDF,61.6,2.0294,0.4387,2021
WE-AC0372,West Bengal,Semi-Urban,CPIM,66.42,18.9015,-22.4689,2021
AS-AC0373,Assam,Rural,AIUDF,80.58,47.7943,13.4618,2021
TA-AC0374,Tamil Nadu,Rural,BJP,68.83,-9.6986,-1.8453,2021
TA-AC0375,Tamil Nadu,Rural,BJP,84.17,13.8997,3.0563,2021
AS-AC0376,Assam,Urban,AGP,76.8,46.0382,27.5011,2021
TA-AC0377,Tamil Nadu,Rural,AIADMK,82.32,16.3578,13.0748,2021
WE-AC0378,West Bengal,Urban,BJP,67.42,28.3507,4.1223,2021
TA-AC0379,Tamil Nadu,Rural,AIADMK,84.02,-4.8966,-17.6058,2021
AS-AC0380,Assam,Rural,AIUDF,85.13,11.5202,2.4042,2021
TA-AC0381,Tamil Nadu,Semi-Urban,DMK,81.97,16.0204,5.3199,2021
PU-AC0382,Puducherry,Semi-Urban,DMK,68.14,10.4657,4.9666,2021
AS-AC0383,Assam,Rural,INC,83.29,5.2567,-5.0738,2021
PU-AC0384,Puducherry,Semi-Urban,BJP,66.82,-8.3559,-2.6345,2021
PU-AC0385,Puducherry,Rural,AINRC,83.09,22.4013,5.8995,2021
KE-AC0386,Kerala,Semi-Urban,BJP,77.3,44.086,3.1573,2021
PU-AC0387,Puducherry,Rural,DMK,83.24,10.6417,11.1336,2021
TA-AC0388,Tamil Nadu,Rural,BJP,95.0,56.7031,5.7703,2021
KE-AC0389,Kerala,Rural,UDF,78.44,26.626,-13.9931,2021
TA-AC0390,Tamil Nadu,Rural,DMK,79.88,24.0694,5.4932,2021
KE-AC0391,Kerala,Semi-Urban,BJP,77.46,15.2224,6.5239,2021
WE-AC0392,West Bengal,Rural,BJP,86.01,20.0815,16.8501,2021
TA-AC0393,Tamil Nadu,Rural,AIADMK,89.33,35.3724,8.5398,2021
AS-AC0394,Assam,Semi-Urban,INC,73.68,19.6532,-3.1254,2021
TA-AC0395,Tamil Nadu,Semi-Urban,INC,84.6,8.144,-1.5084,2021
TA-AC0396,Tamil Nadu,Urban,BJP,72.23,12.9235,7.9918,2021
KE-AC0397,Kerala,Rural,INC,86.24,33.1915,8.2034,2021
PU-AC0398,Puducherry,Urban,DMK,54.82,-6.6827,-7.4658,2021
AS-AC0399,Assam,Urban,AGP,54.43,-15.7498,-4.8405,2021
TA-AC0400,Tamil Nadu,Urban,INC,64.1,-4.1822,3.3207,2021
TA-AC0401,Tamil Nadu,Semi-Urban,INC,77.08,14.6242,-12.174,2021
KE-AC0402,Kerala,Urban,UDF,63.28,6.2849,-0.3766,2021
PU-AC0403,Puducherry,Rural,DMK,95.0,24.3568,0.6512,2021
TA-AC0404,Tamil Nadu,Rural,BJP,79.93,-4.7606,-4.9938,2021
AS-AC0405,Assam,Rural,AGP,85.15,17.2661,10.5443,2021
KE-AC0406,Kerala,Rural,UDF,91.7,29.6387,16.2596,2021
AS-AC0407,Assam,Semi-Urban,BJP,68.88,9.9499,-4.0107,2021
KE-AC0408,Kerala,Urban,INC,63.25,27.2987,-1.9084,2021
WE-AC0409,West Bengal,Rural,CPIM,90.02,25.0812,16.2835,2021
WE-AC0410,West Bengal,Urban,INC,68.62,22.8401,6.2442,2021
TA-AC0411,Tamil Nadu,Rural,INC,84.22,-0.1237,-11.8389,2021
TA-AC0412,Tamil Nadu,Urban,DMK,73.41,15.2816,13.6515,2021
PU-AC0413,Puducherry,Urban,INC,49.71,17.6703,13.8834,2021
KE-AC0414,Kerala,Urban,UDF,65.09,31.2727,2.2149,2021
AS-AC0415,Assam,Rural,INC,76.48,13.6193,2.8733,2021
WE-AC0416,West Bengal,Rural,BJP,89.73,12.2783,4.8546,2021
KE-AC0417,Kerala,Rural,UDF,78.38,1.8385,-11.1827,2021
TA-AC0418,Tamil Nadu,Rural,INC,81.24,11.4532,-4.6857,2021
WE-AC0419,West Bengal,Rural,BJP,90.66,12.1088,5.4607,2021
PU-AC0420,Puducherry,Semi-Urban,AINRC,80.77,61.7178,14.7267,2021
AS-AC0421,Assam,Rural,AGP,67.97,-5.2768,-12.5138,2021
TA-AC0422,Tamil Nadu,Semi-Urban,DMK,57.41,-25.9202,-29.9114,2021
TA-AC0423,Tamil Nadu,Rural,DMK,69.8,12.5157,-3.4665,2021
KE-AC0424,Kerala,Urban,BJP,67.03,36.663,-2.3656,2021
AS-AC0425,Assam,Rural,AGP,74.19,3.8381,-4.9276,2021
WE-AC0426,West Bengal,Semi-Urban,BJP,64.97,12.8076,-7.3247,2021
AS-AC0427,Assam,Rural,AIUDF,81.78,-5.8015,-12.156,2021
AS-AC0428,Assam,Rural,AGP,86.8,19.0485,-20.4912,2021
KE-AC0429,Kerala,Semi-Urban,LDF,64.74,17.8584,-0.9712,2021
PU-AC0430,Puducherry,Urban,BJP,71.43,10.4053,-2.1221,2021
TA-AC0431,Tamil Nadu,Rural,BJP,80.38,10.779,-15.2574,2021
TA-AC0432,Tamil Nadu,Rural,BJP,76.57,3.6078,-3.0163,2021
WE-AC0433,West Bengal,Urban,TMC,60.24,19.8104,4.3339,2021
WE-AC0434,West Bengal,Rural,TMC,61.48,-14.8302,5.5174,2021
KE-AC0435,Kerala,Rural,INC,69.41,-2.8715,-7.5885,2021
KE-AC0436,Kerala,Rural,BJP,81.39,7.3041,1.7046,2021
KE-AC0437,Kerala,Rural,INC,77.47,4.9071,6.757,2021
PU-AC0438,Puducherry,Rural,DMK,95.0,16.2425,0.0,2021
AS-AC0439,Assam,Rural,AGP,83.7,12.418,1.6102,2021
KE-AC0440,Kerala,Urban,BJP,61.73,-3.7207,-6.3912,2021
TA-AC0441,Tamil Nadu,Rural,AIADMK,69.93,-6.5723,7.5283,2021
AS-AC0442,Assam,Rural,BJP,84.96,17.3751,12.1897,2021
TA-AC0443,Tamil Nadu,Rural,INC,81.79,9.6499,-6.9215,2021
KE-AC0444,Kerala,Semi-Urban,UDF,75.78,4.3104,-3.3638,2021
WE-AC0445,West Bengal,Rural,BJP,86.2,25.9045,-0.0635,2021
PU-AC0446,Puducherry,Rural,INC,94.08,17.1685,11.1035,2021
WE-AC0447,West Bengal,Rural,CPIM,72.19,13.361,-5.0727,2021
WE-AC0448,West Bengal,Rural,CPIM,74.37,8.1432,-4.1149,2021
KE-AC0449,Kerala,Rural,BJP,79.55,5.602,-0.7437,2021
KE-AC0450,Kerala,Rural,LDF,73.37,-5.1153,0.6044,2021
PU-AC0451,Puducherry,Rural,AINRC,75.83,-0.4557,-5.0392,2021
PU-AC0452,Puducherry,Semi-Urban,INC,86.81,26.8593,-1.5604,2021
TA-AC0453,Tamil Nadu,Urban,AIADMK,71.7,17.1185,3.417,2021
TA-AC0454,Tamil Nadu,Urban,AIADMK,58.5,3.7818,6.0825,2021
AS-AC0455,Assam,Semi-Urban,AGP,56.11,-9.6612,-5.014,2021
AS-AC0456,Assam,Urban,INC,58.09,-6.915,0.7025,2021
WE-AC0457,West Bengal,Urban,TMC,74.59,20.9558,2.2375,2021
TA-AC0458,Tamil Nadu,Rural,BJP,95.0,17.253,20.5146,2021
KE-AC0459,Kerala,Urban,INC,67.06,10.5306,-16.6263,2021
WE-AC0460,West Bengal,Rural,INC,95.0,22.5474,20.0133,2021
TA-AC0461,Tamil Nadu,Rural,INC,91.67,33.4841,16.8844,2021
TA-AC0462,Tamil Nadu,Rural,DMK,69.56,6.5549,7.2148,2021
PU-AC0463,Puducherry,Rural,DMK,74.58,3.5537,6.091,2021
WE-AC0464,West Bengal,Semi-Urban,BJP,63.95,-16.5703,-2.3719,2021
AS-AC0465,Assam,Rural,BJP,94.79,29.4538,17.8931,2021
TA-AC0466,Tamil Nadu,Urban,AIADMK,78.2,29.0708,28.684,2021
PU-AC0467,Puducherry,Rural,AINRC,76.8,-0.3901,-2.7957,2021
PU-AC0468,Puducherry,Semi-Urban,BJP,81.49,15.1374,1.4809,2021
PU-AC0469,Puducherry,Urban,BJP,72.5,14.1613,17.3483,2021
WE-AC0470,West Bengal,Rural,CPIM,71.09,6.8105,2.8713,2021
KE-AC0471,Kerala,Rural,INC,81.54,2.3879,2.2659,2021
KE-AC0472,Kerala,Urban,INC,59.08,4.366,2.7474,2021
KE-AC0473,Kerala,Semi-Urban,INC,64.59,7.6906,-9.4551,2021
KE-AC0474,Kerala,Rural,BJP,85.83,6.2774,-9.9277,2021
AS-AC0475,Assam,Rural,BJP,88.96,16.4321,10.4821,2021
KE-AC0476,Kerala,Urban,BJP,71.57,19.4288,23.2004,2021
KE-AC0477,Kerala,Rural,BJP,79.6,14.5663,4.7517,2021
AS-AC0478,Assam,Rural,AGP,91.66,24.9481,12.865,2021
KE-AC0479,Kerala,Semi-Urban,INC,76.13,25.2714,6.9699,2021
WE-AC0480,West Bengal,Semi-Urban,INC,74.69,31.8297,3.498,2021
TA-AC0481,Tamil Nadu,Rural,AIADMK,78.18,-3.7336,3.3825,2021
KE-AC0482,Kerala,Rural,UDF,54.89,-25.2009,-13.5545,2021
WE-AC0483,West Bengal,Semi-Urban,BJP,69.44,0.1465,-11.9529,2021
KE-AC0484,Kerala,Rural,BJP,73.85,-5.6713,-7.2827,2021
TA-AC0485,Tamil Nadu,Semi-Urban,BJP,72.75,19.627,13.9073,2021
WE-AC0486,West Bengal,Rural,CPIM,68.9,-4.7975,-11.4937,2021
TA-AC0487,Tamil Nadu,Rural,INC,74.38,23.5839,-6.5251,2021
TA-AC0488,Tamil Nadu,Rural,DMK,68.5,-17.6619,-16.1881,2021
TA-AC0489,Tamil Nadu,Rural,BJP,88.01,37.7844,-0.8338,2021
WE-AC0490,West Bengal,Semi-Urban,BJP,64.91,6.6144,0.6886,2021
KE-AC0491,Kerala,Urban,LDF,62.54,-10.8199,-13.6308,2021
TA-AC0492,Tamil Nadu,Semi-Urban,AIADMK,81.4,32.1019,17.4674,2021
AS-AC0493,Assam,Rural,AIUDF,82.84,8.9049,5.6346,2021
TA-AC0494,Tamil Nadu,Urban,AIADMK,50.82,-4.2724,-5.4817,2021
PU-AC0495,Puducherry,Semi-Urban,BJP,66.55,-5.6641,-13.9239,2021
PU-AC0496,Puducherry,Semi-Urban,INC,70.1,22.0532,5.2433,2021
PU-AC0497,Puducherry,Rural,BJP,61.57,-18.2743,-19.4923,2021
TA-AC0498,Tamil Nadu,Rural,DMK,76.55,13.5331,-3.6727,2021
TA-AC0499,Tamil Nadu,Semi-Urban,BJP,66.84,-5.4639,5.0245,2021
WE-AC0500,West Bengal,Rural,TMC,83.46,10.2214,11.3429,2021
WE-AC0501,West Bengal,Urban,TMC,54.83,2.6732,2.1146,2021
TA-AC0502,Tamil Nadu,Rural,DMK,86.96,30.7,-11.162,2021
AS-AC0503,Assam,Rural,AGP,89.29,7.1549,0.3956,2021
AS-AC0504,Assam,Rural,AIUDF,89.62,8.0054,2.82,2021
TA-AC0505,Tamil Nadu,Rural,INC,95.0,10.7717,6.0264,2021
KE-AC0506,Kerala,Rural,BJP,79.88,10.3474,20.6791,2021
TA-AC0507,Tamil Nadu,Rural,BJP,89.29,20.5358,15.9444,2021
KE-AC0508,Kerala,Rural,BJP,86.67,16.7253,-10.7738,2021
PU-AC0509,Puducherry,Rural,INC,84.42,15.6518,-6.1192,2021
AS-AC0510,Assam,Rural,BJP,73.72,7.7989,1.2308,2021
KE-AC0511,Kerala,Rural,LDF,77.87,18.6216,0.5166,2021
WE-AC0512,West Bengal,Semi-Urban,CPIM,84.0,18.6652,3.9167,2021
KE-AC0513,Kerala,Urban,LDF,55.14,1.0268,-5.675,2021
PU-AC0514,Puducherry,Rural,INC,71.59,-4.9395,0.9412,2021
AS-AC0515,Assam,Rural,INC,89.08,16.4346,-14.7944,2021
PU-AC0516,Puducherry,Semi-Urban,BJP,74.49,1.6288,4.5089,2021
PU-AC0517,Puducherry,Rural,BJP,81.96,1.7112,10.8198,2021
PU-AC0518,Puducherry,Semi-Urban,BJP,81.48,35.9875,10.5441,2021
WE-AC0519,West Bengal,Urban,INC,72.37,23.9955,8.1109,2021
TA-AC0520,Tamil Nadu,Urban,INC,64.96,10.3913,0.4562,2021
WE-AC0521,West Bengal,Rural,TMC,89.35,22.9906,13.789,2021
KE-AC0522,Kerala,Urban,BJP,65.96,14.8762,7.1728,2021
TA-AC0523,Tamil Nadu,Rural,BJP,80.98,1.9756,3.6414,2021
TA-AC0524,Tamil Nadu,Urban,BJP,55.58,2.1504,-1.0923,2021
KE-AC0525,Kerala,Semi-Urban,INC,73.1,6.4642,-7.2196,2021
AS-AC0526,Assam,Rural,AIUDF,76.6,9.2291,-0.4219,2021
KE-AC0527,Kerala,Rural,INC,76.52,10.9385,7.0461,2021
PU-AC0528,Puducherry,Semi-Urban,DMK,61.26,-10.2159,2.1931,2021
TA-AC0529,Tamil Nadu,Rural,AIADMK,78.74,0.3737,7.9329,2021
PU-AC0530,Puducherry,Urban,AINRC,61.71,3.7892,2.2148,2021
PU-AC0531,Puducherry,Urban,BJP,53.8,-6.6504,-6.3905,2021
PU-AC0532,Puducherry,Rural,INC,83.05,-2.0823,4.0319,2021
TA-AC0533,Tamil Nadu,Rural,AIADMK,79.1,-3.1444,-19.4507,2021
WE-AC0534,West Bengal,Rural,TMC,76.38,21.3647,7.0269,2021
TA-AC0535,Tamil Nadu,Rural,INC,72.4,-18.9335,-7.9422,2021
TA-AC0536,Tamil Nadu,Urban,BJP,55.83,-12.3817,-19.6892,2021
TA-AC0537,Tamil Nadu,Semi-Urban,AIADMK,74.54,14.3166,-0.1109,2021
TA-AC0538,Tamil Nadu,Rural,INC,71.44,-3.3388,-5.1714,2021
KE-AC0539,Kerala,Urban,LDF,49.16,-9.7825,-13.2579,2021
KE-AC0540,Kerala,Semi-Urban,BJP,59.37,-0.2229,-3.267,2021
KE-AC0541,Kerala,Rural,LDF,86.81,13.1138,-4.1241,2021
TA-AC0542,Tamil Nadu,Rural,AIADMK,71.99,-8.1531,-10.1588,2021
KE-AC0543,Kerala,Rural,BJP,79.37,6.2114,10.1881,2021
PU-AC0544,Puducherry,Rural,INC,73.48,22.9085,-8.2427,2021
AS-AC0545,Assam,Urban,AGP,63.67,-0.0958,-5.4936,2021
PU-AC0546,Puducherry,Rural,INC,82.72,17.0548,4.8091,2021
PU-AC0547,Puducherry,Rural,AINRC,75.12,18.3132,-10.8437,2021
AS-AC0548,Assam,Urban,AIUDF,54.52,0.4102,-13.7174,2021
KE-AC0549,Kerala,Rural,BJP,62.54,-23.428,-5.1868,2021
AS-AC0550,Assam,Urban,INC,59.3,8.3312,-5.7775,2021
WE-AC0551,West Bengal,Urban,TMC,55.69,-5.2341,-2.1561,2021
PU-AC0552,Puducherry,Rural,INC,83.19,-5.444,-15.5383,2021
WE-AC0553,West Bengal,Urban,CPIM,52.42,17.9272,11.919,2021
KE-AC0554,Kerala,Urban,UDF,54.39,-11.8882,-3.1056,2021
AS-AC0555,Assam,Rural,AGP,83.4,13.8742,8.2467,2021
WE-AC0556,West Bengal,Rural,CPIM,94.04,21.7925,13.129,2021
PU-AC0557,Puducherry,Rural,BJP,74.88,2.1196,-6.1714,2021
AS-AC0558,Assam,Urban,BJP,63.63,12.3063,-9.3066,2021
AS-AC0559,Assam,Urban,BJP,67.32,17.3136,-0.5942,2021
TA-AC0560,Tamil Nadu,Rural,AIADMK,57.68,-10.485,-11.809,2021
AS-AC0561,Assam,Semi-Urban,AIUDF,79.73,19.3656,4.4262,2021
TA-AC0562,Tamil Nadu,Semi-Urban,INC,89.21,40.9024,10.8443,2021
KE-AC0563,Kerala,Rural,LDF,78.16,-5.6947,-12.7903,2021
WE-AC0564,West Bengal,Rural,TMC,73.32,0.7676,-2.395,2021
KE-AC0565,Kerala,Rural,BJP,85.97,4.523,1.3167,2021
WE-AC0566,West Bengal,Rural,TMC,75.48,31.2253,-14.962,2021
KE-AC0567,Kerala,Semi-Urban,BJP,78.39,15.7655,-10.4966,2021
AS-AC0568,Assam,Rural,AGP,65.85,7.1308,0.9018,2021
AS-AC0569,Assam,Urban,AGP,59.88,-13.5978,-4.7126,2021
WE-AC0570,West Bengal,Rural,CPIM,76.35,18.4318,3.6065,2021
PU-AC0571,Puducherry,Rural,BJP,62.2,-18.1175,-6.2988,2021
AS-AC0572,Assam,Urban,AIUDF,53.35,-14.4844,1.9868,2021
PU-AC0573,Puducherry,Rural,DMK,80.93,0.6432,-2.5985,2021
TA-AC0574,Tamil Nadu,Rural,BJP,83.51,20.9706,2.718,2021
AS-AC0575,Assam,Semi-Urban,INC,70.43,2.3249,1.4101,2021
PU-AC0576,Puducherry,Rural,AINRC,68.87,-11.6975,-1.9869,2021
PU-AC0577,Puducherry,Rural,BJP,73.73,7.8924,-4.1569,2021
AS-AC0578,Assam,Rural,AGP,87.37,10.7429,9.4401,2021
WE-AC0579,West Bengal,Rural,BJP,89.24,15.8039,8.0912,2021
TA-AC0580,Tamil Nadu,Rural,AIADMK,79.67,10.4372,-14.646,2021
WE-AC0581,West Bengal,Urban,INC,64.58,5.1429,1.26,2021
PU-AC0582,Puducherry,Urban,BJP,61.44,-5.5345,-19.1164,2021
TA-AC0583,Tamil Nadu,Semi-Urban,AIADMK,79.63,8.1385,-3.8736,2021
PU-AC0584,Puducherry,Rural,BJP,82.42,0.9751,-8.9285,2021
WE-AC0585,West Bengal,Rural,BJP,83.35,3.8372,-6.2488,2021
AS-AC0586,Assam,Semi-Urban,BJP,61.99,-7.9038,-5.239,2021
TA-AC0587,Tamil Nadu,Rural,DMK,88.74,3.5622,-15.6458,2021
TA-AC0588,Tamil Nadu,Rural,AIADMK,65.25,-19.2828,-10.3981,2021
TA-AC0589,Tamil Nadu,Rural,BJP,76.9,-9.1888,-0.6696,2021
KE-AC0590,Kerala,Rural,BJP,77.66,7.8632,-21.5559,2021
AS-AC0591,Assam,Semi-Urban,AIUDF,70.91,16.9906,10.7968,2021
AS-AC0592,Assam,Urban,BJP,56.56,25.0091,3.188,2021
AS-AC0593,Assam,Urban,BJP,55.56,4.9062,-18.3636,2021
TA-AC0594,Tamil Nadu,Urban,AIADMK,74.4,6.9004,-4.4215,2021
WE-AC0595,West Bengal,Urban,TMC,65.45,9.7278,9.8232,2021
WE-AC0596,West Bengal,Urban,CPIM,56.15,-9.0043,-3.6943,2021
WE-AC0597,West Bengal,Rural,CPIM,74.26,-4.5591,0.8986,2021
AS-AC0598,Assam,Rural,INC,69.04,-16.7745,-9.6974,2021
PU-AC0599,Puducherry,Rural,INC,83.95,-6.4868,-1.8207,2021
KE-AC0600,Kerala,Urban,UDF,68.36,11.3081,1.6856,2021
TA-AC0601,Tamil Nadu,Semi-Urban,DMK,62.57,-3.6457,-16.4255,2021
TA-AC0602,Tamil Nadu,Rural,DMK,88.95,29.5613,-3.354,2021
AS-AC0603,Assam,Semi-Urban,BJP,67.38,-5.8657,-6.0115,2021
KE-AC0604,Kerala,Urban,BJP,53.82,5.6358,-3.473,2021
KE-AC0605,Kerala,Rural,INC,73.77,-2.4804,-15.4312,2021
AS-AC0606,Assam,Rural,AIUDF,90.73,16.3511,5.242,2021
TA-AC0607,Tamil Nadu,Rural,AIADMK,78.83,1.9638,-2.8679,2021
PU-AC0608,Puducherry,Rural,AINRC,87.96,8.8022,-3.2812,2021
AS-AC0609,Assam,Urban,AIUDF,68.37,20.8493,15.9495,2021
AS-AC0610,Assam,Semi-Urban,INC,80.61,10.2293,15.293,2021
TA-AC0611,Tamil Nadu,Rural,AIADMK,82.88,15.558,12.051,2021
TA-AC0612,Tamil Nadu,Urban,BJP,52.66,1.263,-8.1447,2021
WE-AC0613,West Bengal,Urban,BJP,68.79,7.2226,-2.4263,2021
AS-AC0614,Assam,Semi-Urban,AGP,56.81,-9.8867,-9.8422,2021
PU-AC0615,Puducherry,Semi-Urban,AINRC,73.98,8.7483,11.2791,2021
WE-AC0616,West Bengal,Rural,CPIM,78.49,5.0204,10.8268,2021
TA-AC0617,Tamil Nadu,Semi-Urban,DMK,74.92,0.5114,-9.243,2021
KE-AC0618,Kerala,Rural,BJP,81.59,4.1071,9.5532,2021
KE-AC0619,Kerala,Rural,BJP,79.24,-3.5837,-8.4974,2021
WE-AC0620,West Bengal,Rural,TMC,71.7,8.99,9.1309,2021
AS-AC0621,Assam,Urban,INC,70.72,4.6728,-6.1746,2021
PU-AC0622,Puducherry,Semi-Urban,DMK,54.11,29.8608,-16.2478,2021
WE-AC0623,West Bengal,Urban,TMC,80.2,39.4414,2.9906,2021
AS-AC0624,Assam,Semi-Urban,AIUDF,74.47,5.5016,-6.1683,2021
AS-AC0625,Assam,Rural,BJP,85.02,7.9768,-5.3273,2021
TA-AC0626,Tamil Nadu,Rural,AIADMK,86.04,38.3264,5.1133,2021
TA-AC0627,Tamil Nadu,Urban,BJP,66.6,13.2999,3.486,2021
WE-AC0628,West Bengal,Semi-Urban,CPIM,71.51,14.6584,-4.5639,2021
TA-AC0629,Tamil Nadu,Urban,BJP,49.95,-8.1709,6.0891,2021
WE-AC0630,West Bengal,Semi-Urban,BJP,86.84,21.2967,10.4531,2021
PU-AC0631,Puducherry,Urban,BJP,65.89,28.6171,2.6458,2021
KE-AC0632,Kerala,Urban,BJP,61.18,5.1631,-15.1296,2021
WE-AC0633,West Bengal,Rural,BJP,77.95,-0.0188,-20.2365,2021
PU-AC0634,Puducherry,Rural,INC,81.73,10.3285,-1.2678,2021
AS-AC0635,Assam,Urban,AIUDF,46.32,3.3863,-4.0347,2021
PU-AC0636,Puducherry,Rural,AINRC,77.55,28.1188,4.1768,2021
TA-AC0637,Tamil Nadu,Urban,INC,83.05,36.4813,9.7919,2021
PU-AC0638,Puducherry,Rural,DMK,78.85,0.0789,-3.3831,2021
KE-AC0639,Kerala,Rural,INC,78.12,4.3312,-0.1172,2021
AS-AC0640,Assam,Urban,BJP,62.94,3.5404,-2.8219,2021
TA-AC0641,Tamil Nadu,Rural,INC,55.13,-17.5877,-13.5251,2021
WE-AC0642,West Bengal,Semi-Urban,CPIM,72.25,22.1272,4.8908,2021
PU-AC0643,Puducherry,Rural,DMK,68.95,-0.8889,-9.1281,2021
KE-AC0644,Kerala,Rural,INC,84.1,8.3655,-2.4105,2021
WE-AC0645,West Bengal,Rural,TMC,64.26,-19.6743,-27.7422,2021
TA-AC0646,Tamil Nadu,Rural,INC,80.82,15.0664,-3.0335,2021
AS-AC0647,Assam,Rural,INC,64.84,11.2225,-7.7344,2021
KE-AC0648,Kerala,Urban,LDF,65.56,6.5662,-0.5739,2021
PU-AC0649,Puducherry,Rural,BJP,78.79,8.7193,-14.2612,2021
KE-AC0650,Kerala,Rural,LDF,82.47,4.4953,4.343,2021
AS-AC0651,Assam,Rural,BJP,77.25,14.0178,-1.5068,2021
PU-AC0652,Puducherry,Semi-Urban,INC,62.94,2.7841,-4.9877,2021
WE-AC0653,West Bengal,Rural,INC,74.62,25.3077,-2.9841,2021
WE-AC0654,West Bengal,Urban,TMC,66.66,7.9749,6.9514,2021
TA-AC0655,Tamil Nadu,Urban,BJP,65.32,11.0254,-7.1496,2021
KE-AC0656,Kerala,Semi-Urban,UDF,82.53,15.0883,-3.151,2021
AS-AC0657,Assam,Rural,INC,88.04,1.5401,-2.5368,2021
PU-AC0658,Puducherry,Urban,BJP,54.27,-17.6763,-20.1993,2021
WE-AC0659,West Bengal,Rural,BJP,86.26,15.2666,19.8667,2021
PU-AC0660,Puducherry,Rural,AINRC,84.17,26.0162,7.718,2021
AS-AC0661,Assam,Rural,AGP,89.12,34.8292,14.7191,2021
WE-AC0662,West Bengal,Rural,BJP,87.44,18.0103,19.0164,2021
WE-AC0663,West Bengal,Semi-Urban,BJP,80.56,4.1426,2.0407,2021
TA-AC0664,Tamil Nadu,Rural,DMK,87.11,8.3053,-9.4102,2021
PU-AC0665,Puducherry,Rural,DMK,73.37,16.1738,-11.5841,2021
TA-AC0666,Tamil Nadu,Rural,INC,71.95,-4.8653,-16.3134,2021
AS-AC0667,Assam,Rural,AGP,87.46,14.6445,11.0583,2021
PU-AC0668,Puducherry,Rural,AINRC,72.95,32.9294,-15.0624,2021
PU-AC0669,Puducherry,Urban,BJP,42.24,-28.6344,-12.4729,2021
TA-AC0670,Tamil Nadu,Semi-Urban,DMK,85.75,22.0876,2.6308,2021
WE-AC0671,West Bengal,Urban,CPIM,59.8,-1.5911,0.241,2021
TA-AC0672,Tamil Nadu,Semi-Urban,DMK,76.69,20.2078,-5.5511,2021
PU-AC0673,Puducherry,Semi-Urban,INC,92.02,24.3077,1.118,2021
TA-AC0674,Tamil Nadu,Urban,AIADMK,57.12,19.7352,-0.0191,2021
WE-AC0675,West Bengal,Rural,CPIM,71.56,12.9878,4.7341,2021
WE-AC0676,West Bengal,Urban,CPIM,67.04,-1.0051,5.7069,2021
PU-AC0677,Puducherry,Semi-Urban,BJP,76.7,12.2991,11.1017,2021
AS-AC0678,Assam,Rural,BJP,77.68,-3.3559,-8.0478,2021
AS-AC0679,Assam,Rural,AGP,77.16,11.8739,6.6884,2021
TA-AC0680,Tamil Nadu,Urban,DMK,62.48,0.9202,-10.2917,2021
PU-AC0681,Puducherry,Urban,AINRC,71.95,30.6765,7.3751,2021
PU-AC0682,Puducherry,Rural,BJP,67.6,-6.0932,-31.767,2021
TA-AC0683,Tamil Nadu,Rural,AIADMK,93.79,31.1436,23.9155,2021
TA-AC0684,Tamil Nadu,Rural,AIADMK,74.03,-9.8353,-12.5613,2021
AS-AC0685,Assam,Rural,AGP,73.16,4.9664,-5.8588,2021
WE-AC0686,West Bengal,Urban,INC,62.83,-8.5193,-19.1406,2021
